event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:pass-duration,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
622999638,true,2014-02-20 12:21:54.000,-5.853,39.013,,292,-130,401.6709301,0,39.013,39.013,B,-5.853,-5.853,2,0,3,59,151,200,2,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999639,true,2014-02-20 12:50:00.000,-5.93,39.021,,287,-127,401.6709166,50,39.021,39.021,3,-5.93,-5.93,4,0,3,297,152,196,1,11,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999640,true,2014-02-20 14:27:29.000,-5.933,39.016,,287,-131,401.6709195,8,39.016,39.016,B,-5.933,-5.933,1,0,3,0,151,188,2,27,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999641,true,2014-02-20 14:34:44.000,-5.928,39.024,,287,-128,401.6709145,50,39.024,39.024,3,-5.928,-5.928,7,0,3,534,3,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999642,true,2014-02-20 15:43:31.000,-5.929,39.021,,287,-134,401.6709169,8,39.021,39.021,B,-5.929,-5.929,1,0,3,0,146,184,3,45,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999643,true,2014-02-20 16:09:43.000,-5.931,39.022,,287,-122,401.6709176,58,39.022,39.022,3,-5.931,-5.931,7,0,3,415,4,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999644,true,2014-02-20 17:30:59.000,-5.928,39.023,,287,-125,401.6709189,58,39.023,39.023,3,-5.928,-5.928,7,0,3,473,6,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999645,true,2014-02-20 18:46:29.000,-5.931,39.021,,287,-117,401.6709192,58,39.021,39.021,2,-5.931,-5.931,6,2,3,298,7,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999646,true,2014-02-20 20:21:45.000,-5.93,39.023,,287,-123,401.6709192,8,39.023,39.023,A,-5.93,-5.93,3,0,3,295,9,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
622999647,true,2014-02-20 20:25:12.000,-5.937,39.023,,289,-131,401.6709206,50,39.023,39.023,2,-5.937,-5.937,7,0,3,355,9,1,0,1,argos-doppler-shift,Limosa limosa,134755,Aldeboarn,Continental black-tailed godwits (data from Senner et al. 2015)
